Term,Class,Title,Description,Status,Days,Time,Seats
Spring 2025,CENG 330,Digital Logic Design I,"Prerequisite, CPSC 231 or CENG 231. Corequisite, CENG 330L. Students learn the fundamental principles and practice of digital logic. The course covers binary numbers and arithmetic. Students study Boolean algebra as a method of reasoning about sequential circuits including truth tables and Karnaugh maps, logic minimization, gates and flip-flops, sequential logic and combinatorial logic. The course requires one hour of supervised work in a laboratory in addition to three hours per week of lecture. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Monday Wednesday,4:00PM to 5:15PM,Waitlist Available Places 97 of 100
Spring 2025,CENG 350,Embedded Systems,"Prerequisite, CENG 231. An in-depth study of the high-level abstract modeling concepts and the lower-level fundamental programming aspects of real-time embedded systems development. The primary focus is in the design, development and validation of microprocessor-based real-time embedded systems. (Offered as needed.) 3 credits.",Open,Tuesday Thursday,11:30AM to 12:45PM,Open Seats 10 of 20
Spring 2025,CENG 351,Computer Architecture I,"Prerequisite, CENG 330. Students learn the organization and structure of the major hardware components of computers to understand the mechanics of information transfer and control within a digital computer system and the fundamentals of logic design. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Open,Monday Wednesday,1:00PM to 2:15PM,Open Seats 3 of 22
Spring 2025,CENG 351,Computer Architecture I,"Prerequisite, CENG 330. Students learn the organization and structure of the major hardware components of computers to understand the mechanics of information transfer and control within a digital computer system and the fundamentals of logic design. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits",Wait List,Tuesday Thursday,1:00PM to 2:15PM,Waitlist Available Places 95 of 100
Spring 2025,CENG 370,Topics in Computer Engineering - Nanoscience & Nanoengineering,Advanced topics in computer engineering. May be repeated for credit. (Offered as needed.) 3 credits.,Open,Monday Wednesday,2:30PM to 3:45PM,Open Seats 7 of 20
Spring 2025,CENG 370,Topics in Computer Engineering - Probability & Stats for Eng,Advanced topics in computer engineering. May be repeated for credit. (Offered as needed.) 3 credits.,Open,Tuesday Thursday,11:30AM to 12:45PM,Open Seats 9 of 20
Spring 2025,CENG 370,Topics in Computer Engineering - Probability & Stats for Eng,Advanced topics in computer engineering. May be repeated for credit. (Offered as needed.) 3 credits.,Open,Tuesday Thursday,4:00PM to 5:15PM,Open Seats 10 of 20
Spring 2025,CENG 370,Topics in Computer Engineering - Quantum Engineering and Tech,Advanced topics in computer engineering. May be repeated for credit. (Offered as needed.) 3 credits.,Closed,Tuesday Thursday,4:00PM to 5:15PM,Closed
Spring 2025,CENG 465,Integrated Circuit Design I,"Prerequisite, CENG 330. This course introduces students to the analysis and design of digital integrated circuits including combinational (static and dynamic) and sequential logic integrated circuits using CMOS technology. Students will learn transistor structure, circuit schematic, physical design, Design Rule Checking, Layout Versus Schematic checking, circuit extraction, and simulation using CAD tools. Letter grade with Pass/No Pass option. (Offered as needed.) 3 credits",Open,Monday Wednesday,2:30PM to 3:45PM,Open Seats 9 of 22
Spring 2025,ENGR 101,Foundations of Design and Fabrication,"Students gain first-hand experience with design and fabrication as a foundation of engineering. Using technologies such as additive manufacturing (eg. 3D printing), embedded systems and software, and electronics, students will work together to develop innovative solutions to interesting problems. Pass/No Pass. (Offered every semester.) 3 credits.",Open,Tuesday Thursday,1:00PM to 2:15PM,Open Seats 1 of 15
Spring 2025,ENGR 101,Foundations of Design and Fabrication,"Students gain first-hand experience with design and fabrication as a foundation of engineering. Using technologies such as additive manufacturing (eg. 3D printing), embedded systems and software, and electronics, students will work together to develop innovative solutions to interesting problems. Pass/No Pass. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday,2:30PM to 3:45PM,Waitlist Available Places 100 of 100
Spring 2025,ENGR 101,Foundations of Design and Fabrication,"Students gain first-hand experience with design and fabrication as a foundation of engineering. Using technologies such as additive manufacturing (eg. 3D printing), embedded systems and software, and electronics, students will work together to develop innovative solutions to interesting problems. Pass/No Pass. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday,4:00PM to 5:15PM,Waitlist Available Places 98 of 100
Spring 2025,ENGR 101,Foundations of Design and Fabrication,"Students gain first-hand experience with design and fabrication as a foundation of engineering. Using technologies such as additive manufacturing (eg. 3D printing), embedded systems and software, and electronics, students will work together to develop innovative solutions to interesting problems. Pass/No Pass. (Offered every semester.) 3 credits.",Wait List,Monday Wednesday,1:00PM to 2:15PM,Waitlist Available Places 100 of 100
Spring 2025,ENGR 102,Intermediate Design and Fabrication,"Prerequisite, ENGR 101. Students will be introduced to control systems to enable deeper understanding of more complex electronic circuits, embedded software architecture, and electro-mechanical interfaces. The course will also introduce fundamental operational amplifier circuits, advanced solid state electronic design, advanced Arduino function library applications, robotic articulation controls, and 3D print CAD applications. Letter grade with Pass/No Pass option. (Offered spring semester, alternate years.) 3 credits",Open,Monday Wednesday,5:30PM to 6:45PM,
Spring 2025,ENGR 300,3D Printing and Design,"Student are exposed to the complete lifecycle of the 3D printing process. Students will begin by assembling their own fused deposition modeling (FDM) printer, learning the design and function of each hardware component and how they combine to produce a finished print. Students will learn the characteristics of all major filament types, nozzle sizes and types, how to slice 3D models and adjust slicer settings to produce quality gcode, how to resolve common print errors, and how to post-process prints (including wood and metal finishing). Students will also learn to design their own 3D models for printing, culminating in a final, independent project of their own creation. (Offered as needed.) 3 credits.",Open,Wednesday,4:00PM to 6:50PM,
Spring 2025,ENGR 300,3D Printing and Design,"Student are exposed to the complete lifecycle of the 3D printing process. Students will begin by assembling their own fused deposition modeling (FDM) printer, learning the design and function of each hardware component and how they combine to produce a finished print. Students will learn the characteristics of all major filament types, nozzle sizes and types, how to slice 3D models and adjust slicer settings to produce quality gcode, how to resolve common print errors, and how to post-process prints (including wood and metal finishing). Students will also learn to design their own 3D models for printing, culminating in a final, independent project of their own creation. (Offered as needed.) 3 credits.",Wait List,Tuesday,4:00PM to 6:50PM,
Spring 2025,ENGR 301,Advanced 3D Printing and Design,"Prerequisite, ENGR 300. Students will explore advanced topics in 3D printing and additive manufacturing, including latest industry technologies and trends. The course will focus on producing robust 3D prints using a variety of materials intended to satisfy specific engineering requirements. Letter grade with Pass/No Pass option. (Offered as needed.) 3 credits",Open,Thursday,4:00PM to 6:50PM,
Spring 2025,ENGR 370,Topics in Engineering - Nanoscience & Nanoengineering,Advanced topics in Engineering. Letter grade with Pass/No Pass option. Repeatable for credit if the topic is different. (Offered as needed.) 3 credits.,Open,Monday Wednesday,2:30PM to 3:45PM,Open Seats 7 of 20
Spring 2025,ENGR 370,Topics in Engineering - Innovation Out of Failure,Advanced topics in Engineering. Letter grade with Pass/No Pass option. Repeatable for credit if the topic is different. (Offered as needed.) 3 credits.,Open,Monday Wednesday,4:00PM to 5:15PM,Open Seats 6 of 20
Spring 2025,ENGR 501,Ethical Foundations of Engineering,"Students explore ethical issues encountered by engineers through selected readings, case studies, and guest speakers. Specific content varies by offering. Letter grade. This course may be repeated for credit. (Offered as needed.) 1 credit",Open / Enrolled,Monday,7:00PM to 7:50PM,Open Seats 5 of 31
Spring 2025,ENGR 520,Technical Writing and Communication,"Technical writing in the engineering discipline requires graduate students to understand and incorporate information from a plethora of genres, including reports, research papers, proposals/grants, persuasive arguments, and technical memos. This class will offer the concepts and tools needed to effectively convey the intended message both orally and in written format. Students will focus on interpreting engineering texts and learn how to become a more effective writer. Letter grade. (Offered every year.) 3 credits",Open / Enrolled,Monday Wednesday,5:30PM to 6:45PM,Open Seats 8 of 27
Spring 2025,EENG 200,Electronics and Circuits I,"Prerequisite, MATH 110 or MATH 115. Corequisite, EENG 200L. Students begin their study of electronics and circuits by studying electricity (current, energy, voltage, power), electronic components (resistors, capacitors, diodes, etc), and fundamental laws for circuits. Students will gain hands on experience building circuits with solderless breadboards in a separate laboratory component. (Offered spring semester.) 3 credits.",Wait List,Tuesday Thursday,11:30AM to 12:45PM,Waitlist Available Places 100 of 100
Spring 2025,EENG 300,Electronics and Circuits II,"Prerequisite, EENG 200. Corequisite, EENG 300L. Students continue their study of circuits, moving into digital and mixed signal circuit design. Topics include transistors, diodes, AC and DC analysis, analyzing circuit response, and integrated circuits. Students will gain hands on experience in the lab by prototyping circuits, simulating complex designs, and designing and analyzing simple PCB circuits. (Offered fall semester.) 3 credits.",Open,Tuesday Thursday,11:30AM to 12:45PM,Open Seats 9 of 22
Spring 2025,EENG 320,Microelectronics I,"Prerequisites, EENG 200 and PHYS 102 or PHYS 108. Corequisite, EENG 320L. Students are introduced to the fundamental semiconductor devices such as diodes, MOSFETs and BJTs. The I-V characteristics, DC models, and AC small signal models of these devices are utilized in circuit design. Letter grade with Pass/No Pass option. (Offered as needed.) 3 credits",Wait List,Monday Wednesday,1:00PM to 2:15PM,Waitlist Available Places 100 of 100
Spring 2025,EENG 330,Electromagnetics I,"Prerequisites, MATH 116 or MATH 210 and PHYS 102. Students are introduced to electromagnetism and Maxwell's equations. The covered topics include vector analysis and fundamental theorems for gradients, divergences, and curls, electrostatics, magnetostatics, properties of conductive, dielectric, and magnetic materials, Gauss's law, Ampere's law, static fields in the presence of matter, Maxwell's equations formalism in differential and integral forms, Maxwell's equations for electrodynamics and basic concepts of radiation and scattering. Letter grade with Pass/No Pass option. (Offered as needed.) 3 credits",Wait List,Tuesday Thursday,10:00AM to 11:15AM,Waitlist Available Places 100 of 100
Spring 2025,EENG 370,Topics in Electrical Engineering - Probability & Stats for Eng,Advanced topics in Electrical Engineering. Letter grade with Pass/No Pass option. Repeatable for credit if the topic is different. (Offered as needed.) 3 credits.,Open,Tuesday Thursday,11:30AM to 12:45PM,Open Seats 9 of 20
Spring 2025,EENG 370,Topics in Electrical Engineering - Probability & Stats for Eng,Advanced topics in Electrical Engineering. Letter grade with Pass/No Pass option. Repeatable for credit if the topic is different. (Offered as needed.) 3 credits.,Open,Tuesday Thursday,4:00PM to 5:15PM,Open Seats 10 of 20
Spring 2025,EENG 370,Topics in Electrical Engineering - Quantum Engineering and Tech,Advanced topics in Electrical Engineering. Letter grade with Pass/No Pass option. Repeatable for credit if the topic is different. (Offered as needed.) 3 credits.,Closed,Tuesday Thursday,4:00PM to 5:15PM,Closed
Spring 2025,EENG 398,Topics in Advanced Engineering Applications - Circuit Board and Prototyping,This course provides a deep dive into very specific advanced engineering topics or technologies. Pass/No Pass. Repeatable for credit if the topic is different. (Offered as needed.) 1 credits.,Open,Friday,11:00AM to 11:50AM,Open Seats 9 of 22
Spring 2025,EENG 410,Control Systems,"Prerequisite, EENG 310. Students explore topics related to control systems including linear systems, transfer functions, Laplace transforms, frequency-response, transient response, and feedback through a combination of analytical and computational techniques. Letter grade with Pass/No Pass option. (Offered as needed.) 3 credits.",Wait List,Tuesday Thursday,2:30PM to 3:45PM,Waitlist Available Places 100 of 100Spring 2025,SE 320,The Software Development Lifecycle,"Prerequisites, CPSC 350, SE 300, 310. Students apply their theoretical knowledge of the software development lifecycle to a year-long project spanning all facets of the requirements, design, implementation, test, and maintenance processes. (Offered spring semester.) 3 credits.",Open,Tuesday Thursday,5:30PM to 6:45PM,Open Seats 1 of 26
Spring 2025,SE 370,Topics in Software Engineering - Applied AI,"Prerequisite, determined by topic being offered. Advanced topics in the theory and practice of the software development lifecycle. Topics may include open-source software development, automated software engineering, empirical software engineering, and case studies of specific code ecosystems. May be repeated for credit. (Offered as needed.) 3 credits.",Open,Monday,7:00PM to 9:50PM,
Spring 2025,SE 498,Software Engineering Capstone Project,"Prerequisite, SE 320. Students complete an in-depth, individual, software engineering project in conjunction with a faculty advisor and an industry partner. (Offered as needed.) 3 credits.",Open,Monday Wednesday,1:00PM to 2:15PM,Open Seats 11 of 34
